COMBUSTÍVEL,ANO,ESTADO,UNIDADE,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
GASOLINA C (m3),2000,RONDÔNIA,m3,9563.2630000000008,11341.228999999999,9369.7459999999992,10719.983,11165.968000000001,12312.450999999999,11220.97,12482.281000000001,13591.121999999999,11940.57,11547.575999999999,10818.093999999999,136073.25300000003
GASOLINA C (m3),2000,ACRE,m3,3065.7579999999998,3495.29,2946.93,3023.92,3206.93,3612.58,3264.46,3835.74,3676.5709999999999,3225.61,3289.7179999999998,3358.346,40001.852999999996
GASOLINA C (m3),2000,AMAZONAS,m3,17615.603999999999,20258.2,18741.344000000001,19604.023000000001,20221.673999999999,20792.616000000002,19912.898000000001,21869.338,21145.643,20633.174999999999,20766.918000000001,21180.919000000002,242742.35199999998
GASOLINA C (m3),2000,RORAIMA,m3,3259.3,3636.2159999999999,3631.569,3348.4160000000002,3394.0160000000001,4078.616,3346.616,4029.9,4358.5159999999996,3716.0320000000002,3200.4,3339.3319999999999,43338.929000000011
GASOLINA C (m3),2000,PARÁ,m3,28830.478999999999,32297.046999999999,27310.978999999999,29396.383999999998,26511.008999999998,36553.25,31807.84,31009.972000000002,29755.906999999999,28661.951000000001,28145.784,29294.795999999998,359575.39799999993
GASOLINA C (m3),2000,AMAPÁ,m3,3456.35,4092.25,3395.6,3613.7,3533.05,4387.1000000000004,3541,4096.7,4374.2,3917.75,3779.9,4068.2159999999999,46255.816000000006
GASOLINA C (m3),2000,TOCANTINS,m3,6961.518,7027.9160000000002,6616.28,6699.6909999999998,7174.92,8479.58,8046.45,7734.34,8267.9030000000002,7398.3149999999996,7153.2830000000004,7522.1710000000003,89082.366999999998
GASOLINA C (m3),2000,MARANHÃO,m3,16751.080000000002,17985.404999999999,15357.75,15875.727999999999,16719.97,19185.494999999999,18027.96,18185.91,19684.36,17944.756000000001,17643.608,17730.674999999999,211092.69699999999
GASOLINA C (m3),2000,PIAUÍ,m3,8452.2000000000007,9584.7000000000007,7626.11,8282.35,9638.4500000000007,10861.4,10473.450000000001,10857.385,11773.192999999999,10630.465,10592.222,10952.369000000001,119724.29399999999
GASOLINA C (m3),2000,CEARÁ,m3,38492.506000000001,40179.296999999999,37092.082999999999,36847.944000000003,39146.175999999999,41110.491000000002,38988.767999999996,39539.663999999997,41027.53,39412.807999999997,38923.273999999998,40867.267,471627.80800000002
GASOLINA C (m3),2000,RIO GRANDE DO NORTE,m3,19130.2,18901.669999999998,17949.95,17620.599999999999,18024.05,19198.349999999999,16607.650000000001,19082.537,19266.204000000002,18467.780999999999,18534.865000000002,19630.397000000001,222414.25399999996
GASOLINA C (m3),2000,PARAÍBA,m3,20166.052,20266.850999999999,17760.866000000002,18774.2,19128.150000000001,18352.349999999999,15439.8,16998.465,18352.772000000001,17453.257000000001,18325.780999999999,19422.052,220440.59600000002
GASOLINA C (m3),2000,PERNAMBUCO,m3,51905.707000000002,62859.574999999997,51836.614999999998,52069.116000000002,54715.623,51551.63,43244.78,45798.133999999998,47324.824999999997,46358.883000000002,49191.749000000003,52270.868000000002,609127.505
GASOLINA C (m3),2000,ALAGOAS,m3,14001.15,13998.008,12592.120999999999,13921.15,13962.816000000001,13676.4,12461.124,13174.12,14419.915999999999,13613.575999999999,13934.106,14793.822,164548.30899999995
GASOLINA C (m3),2000,SERGIPE,m3,12292.884,13170.941999999999,12177.374,11931.134,12751.083000000001,12999.466,11471.1,12407.15,12762.904,12436.107,12044.862999999999,12707.571,149152.57800000001
GASOLINA C (m3),2000,BAHIA,m3,79545.218999999997,81350.125,73081.354999999996,72319.495999999999,74122.653999999995,82607.784,74717.745999999999,78765.903000000006,79296.13,76163.319000000003,73630.192999999999,81414.03,927013.95400000003
GASOLINA C (m3),2000,MINAS GERAIS,m3,182555.481,195290.073,181880.33600000001,193518.50200000001,194328.45,211011.796,184604.726,190733.14300000001,198022.38500000001,197289.3,191359.24,203730.277,2324323.7089999998
GASOLINA C (m3),2000,ESPÍRITO SANTO,m3,43744.620999999999,45926.084999999999,42766.428,48544.383999999998,52672.000999999997,58173.434000000001,33076.898000000001,32311.973000000002,34425.525000000001,34969.853000000003,33811.764000000003,36915.406999999999,497338.37300000002
GASOLINA C (m3),2000,RIO DE JANEIRO,m3,152471.323,154445.57399999999,137874.31599999999,142844.46900000001,133011.97899999999,157785.97099999999,154662.82,162775.78599999999,159455.06400000001,170050.56200000001,153214.08199999999,169155.095,1847747.041
GASOLINA C (m3),2000,SÃO PAULO,m3,579928.00899999996,643248.09400000004,605500.41,618650.17700000003,614461.49699999997,652318.91200000001,575302.16099999996,598991.152,603057.69700000004,652425.41899999999,627900.04500000004,656697.245,7428480.818
GASOLINA C (m3),2000,PARANÁ,m3,131275.82699999999,139828.21900000001,132674.66200000001,135278.932,137302.54199999999,141272.27600000001,120306.416,124057.22,127456.768,126089.287,127217.60799999999,140577.245,1583337.0019999999
GASOLINA C (m3),2000,SANTA CATARINA,m3,90238.164000000004,96826.942999999999,86662.71,87132.096999999994,84778.683999999994,95782.864000000001,86011.332999999999,84710.47,92420.292000000001,90161.217000000004,91530.697,102189.302,1088444.773
GASOLINA C (m3),2000,RIO GRANDE DO SUL,m3,155870.853,171836.48499999999,148189.99600000001,160079.43900000001,160513.13099999999,169750.799,148887.40599999999,156146.992,156949.81599999999,156677.715,158636.867,169447.74799999999,1912987.2470000004
GASOLINA C (m3),2000,MATO GROSSO DO SUL,m3,22586.589,24994.400000000001,21692.937000000002,23446.215,23112.258999999998,24360.117999999999,23974.14,23870.663,26477.505000000001,24445.827000000001,23412.072,25815.360000000001,288188.08499999996
GASOLINA C (m3),2000,MATO GROSSO,m3,20899.358,23245.279999999999,21682.923999999999,21881.812999999998,24084.058000000001,24138.483,24424.395,23567.687999999998,23955.236000000001,22493.198,27907.664000000001,27399.758999999998,285679.85599999997
GASOLINA C (m3),2000,GOIÁS,m3,58254.692000000003,60709.112999999998,56363.192000000003,59585.031999999999,60409.112000000001,63762.883000000002,59713.601999999999,59023.033000000003,65077.56,60458.711000000003,60729.000999999997,63977.934000000001,728063.86500000011
GASOLINA C (m3),2000,DISTRITO FEDERAL,m3,39257.909,49569.771999999997,48423.406000000003,48553.004000000001,51085.485000000001,53138.993999999999,47297.271000000001,51706.870999999999,49501.962,52617.237000000001,49397.542999999998,52840.224999999999,593389.679
