year_month,uf,product,unit,volume,created_at
2000,ACRE,ÓLEO DIESEL (m3),m3,"18681,02",2023-12-03
2001,ACRE,ÓLEO DIESEL (m3),m3,"17387,841",2023-12-03
2002,ACRE,ÓLEO DIESEL (m3),m3,"20922,295",2023-12-03
2003,ACRE,ÓLEO DIESEL (m3),m3,"15974,077",2023-12-03
2004,ACRE,ÓLEO DIESEL (m3),m3,"16614,748",2023-12-03
2005,ACRE,ÓLEO DIESEL (m3),m3,"169085,83",2023-12-03
2006,ACRE,ÓLEO DIESEL (m3),m3,"8241,187",2023-12-03
2007,ACRE,ÓLEO DIESEL (m3),m3,"10346,7254612674",2023-12-03
2008,ACRE,ÓLEO DIESEL (m3),m3,"16164,4363880933",2023-12-03
2009,ACRE,ÓLEO DIESEL (m3),m3,"15184,7998633492",2023-12-03
2010,ACRE,ÓLEO DIESEL (m3),m3,"15966,3821515441",2023-12-03
2011,ACRE,ÓLEO DIESEL (m3),m3,"14774,6075164987",2023-12-03
2012,ACRE,ÓLEO DIESEL (m3),m3,"19346,9063532748",2023-12-03
2013,ACRE,ÓLEO DIESEL (m3),m3,12834,2023-12-03
2014,ACRE,ÓLEO DIESEL (m3),m3,"11876,001",2023-12-03
2015,ACRE,ÓLEO DIESEL (m3),m3,"12456,8812222236",2023-12-03
2016,ACRE,ÓLEO DIESEL (m3),m3,12047,2023-12-03
2017,ACRE,ÓLEO DIESEL (m3),m3,"10235,8181138331",2023-12-03
2018,ACRE,ÓLEO DIESEL (m3),m3,"151896,326",2023-12-03
2019,ACRE,ÓLEO DIESEL (m3),m3,"12844,6",2023-12-03
2020,ACRE,ÓLEO DIESEL (m3),m3,null,2023-12-03
2000,ALAGOAS,ÓLEO DIESEL (m3),m3,"18135,45",2023-12-03
2001,ALAGOAS,ÓLEO DIESEL (m3),m3,"21095,731",2023-12-03
2002,ALAGOAS,ÓLEO DIESEL (m3),m3,"22024,783",2023-12-03
2003,ALAGOAS,ÓLEO DIESEL (m3),m3,"19591,695",2023-12-03
2004,ALAGOAS,ÓLEO DIESEL (m3),m3,"24427,854",2023-12-03
2005,ALAGOAS,ÓLEO DIESEL (m3),m3,"33551,626",2023-12-03
2006,ALAGOAS,ÓLEO DIESEL (m3),m3,"313508,561",2023-12-03
2007,ALAGOAS,ÓLEO DIESEL (m3),m3,"33288,1072929333",2023-12-03
2008,ALAGOAS,ÓLEO DIESEL (m3),m3,"30663,1281477951",2023-12-03
2009,ALAGOAS,ÓLEO DIESEL (m3),m3,"35647,0265709387",2023-12-03
2010,ALAGOAS,ÓLEO DIESEL (m3),m3,"30435,0832602384",2023-12-03
2011,ALAGOAS,ÓLEO DIESEL (m3),m3,"28381,7846306356",2023-12-03
2012,ALAGOAS,ÓLEO DIESEL (m3),m3,"26281,8742657213",2023-12-03
2013,ALAGOAS,ÓLEO DIESEL (m3),m3,26018,2023-12-03
2014,ALAGOAS,ÓLEO DIESEL (m3),m3,"30151,776",2023-12-03
2015,ALAGOAS,ÓLEO DIESEL (m3),m3,"34699,5",2023-12-03
2016,ALAGOAS,ÓLEO DIESEL (m3),m3,"33647,73",2023-12-03
2017,ALAGOAS,ÓLEO DIESEL (m3),m3,"29513,4210576997",2023-12-03
2018,ALAGOAS,ÓLEO DIESEL (m3),m3,"33483,824",2023-12-03
2019,ALAGOAS,ÓLEO DIESEL (m3),m3,"352051,129",2023-12-03
2020,ALAGOAS,ÓLEO DIESEL (m3),m3,null,2023-12-03
2000,AMAPÁ,ÓLEO DIESEL (m3),m3,"12191,435",2023-12-03
2001,AMAPÁ,ÓLEO DIESEL (m3),m3,"116964,543",2023-12-03
2002,AMAPÁ,ÓLEO DIESEL (m3),m3,"15773,9",2023-12-03
2003,AMAPÁ,ÓLEO DIESEL (m3),m3,"17522,972",2023-12-03
2004,AMAPÁ,ÓLEO DIESEL (m3),m3,"20236,495",2023-12-03
2005,AMAPÁ,ÓLEO DIESEL (m3),m3,"20608,36",2023-12-03
2006,AMAPÁ,ÓLEO DIESEL (m3),m3,"15848,3",2023-12-03
2007,AMAPÁ,ÓLEO DIESEL (m3),m3,"20161,7988752548",2023-12-03
2008,AMAPÁ,ÓLEO DIESEL (m3),m3,"16937,721179485",2023-12-03
2009,AMAPÁ,ÓLEO DIESEL (m3),m3,"19805,5799740754",2023-12-03
2010,AMAPÁ,ÓLEO DIESEL (m3),m3,"23053,2208910661",2023-12-03
2011,AMAPÁ,ÓLEO DIESEL (m3),m3,"30538,2665909379",2023-12-03
2012,AMAPÁ,ÓLEO DIESEL (m3),m3,"30751,6623578338",2023-12-03
2013,AMAPÁ,ÓLEO DIESEL (m3),m3,"36448,804",2023-12-03
2014,AMAPÁ,ÓLEO DIESEL (m3),m3,"471741,044",2023-12-03
2015,AMAPÁ,ÓLEO DIESEL (m3),m3,"13248,4144777591",2023-12-03
2016,AMAPÁ,ÓLEO DIESEL (m3),m3,"9842,6",2023-12-03
2017,AMAPÁ,ÓLEO DIESEL (m3),m3,"9399,67963158222",2023-12-03
2018,AMAPÁ,ÓLEO DIESEL (m3),m3,"9032,483",2023-12-03
2019,AMAPÁ,ÓLEO DIESEL (m3),m3,"10373,526",2023-12-03
2020,AMAPÁ,ÓLEO DIESEL (m3),m3,"9675,33",2023-12-03
2000,AMAZONAS,ÓLEO DIESEL (m3),m3,"41858,34",2023-12-03
2001,AMAZONAS,ÓLEO DIESEL (m3),m3,"36424,788",2023-12-03
2002,AMAZONAS,ÓLEO DIESEL (m3),m3,"38731,261",2023-12-03
2003,AMAZONAS,ÓLEO DIESEL (m3),m3,"37129,18",2023-12-03
2004,AMAZONAS,ÓLEO DIESEL (m3),m3,"698141,062",2023-12-03
2005,AMAZONAS,ÓLEO DIESEL (m3),m3,"71375,662",2023-12-03
2006,AMAZONAS,ÓLEO DIESEL (m3),m3,"66362,79",2023-12-03
2007,AMAZONAS,ÓLEO DIESEL (m3),m3,"64632,1530300206",2023-12-03
2008,AMAZONAS,ÓLEO DIESEL (m3),m3,"64456,9390946185",2023-12-03
2009,AMAZONAS,ÓLEO DIESEL (m3),m3,"78015,4339704321",2023-12-03
2010,AMAZONAS,ÓLEO DIESEL (m3),m3,"103460,216785681",2023-12-03
2011,AMAZONAS,ÓLEO DIESEL (m3),m3,"111144,685420977",2023-12-03
2012,AMAZONAS,ÓLEO DIESEL (m3),m3,"111018,605770175",2023-12-03
2013,AMAZONAS,ÓLEO DIESEL (m3),m3,"114417,314",2023-12-03
2014,AMAZONAS,ÓLEO DIESEL (m3),m3,"99271,042",2023-12-03
2015,AMAZONAS,ÓLEO DIESEL (m3),m3,"81714,777",2023-12-03
2016,AMAZONAS,ÓLEO DIESEL (m3),m3,"78590,849",2023-12-03
2017,AMAZONAS,ÓLEO DIESEL (m3),m3,"1048377,76734721",2023-12-03
2018,AMAZONAS,ÓLEO DIESEL (m3),m3,"86401,13",2023-12-03
2019,AMAZONAS,ÓLEO DIESEL (m3),m3,"75265,388",2023-12-03
2020,AMAZONAS,ÓLEO DIESEL (m3),m3,null,2023-12-03
2000,BAHIA,ÓLEO DIESEL (m3),m3,"149073,719",2023-12-03
2001,BAHIA,ÓLEO DIESEL (m3),m3,"170654,634",2023-12-03
2002,BAHIA,ÓLEO DIESEL (m3),m3,"154693,981",2023-12-03
2003,BAHIA,ÓLEO DIESEL (m3),m3,"138430,946",2023-12-03
2004,BAHIA,ÓLEO DIESEL (m3),m3,"2053940,335",2023-12-03
2005,BAHIA,ÓLEO DIESEL (m3),m3,"179450,976",2023-12-03
