year_month,uf,product,unit,volume,created_at
2001,ACRE,GASOLINA C (m3),m3,"3347,465",2023-12-03
2002,ACRE,GASOLINA C (m3),m3,"4649,802",2023-12-03
2003,ACRE,GASOLINA C (m3),m3,"3816,22",2023-12-03
2004,ACRE,GASOLINA C (m3),m3,"4196,923",2023-12-03
2005,ACRE,GASOLINA C (m3),m3,"4099,982",2023-12-03
2006,ACRE,GASOLINA C (m3),m3,"4365,55",2023-12-03
2007,ACRE,GASOLINA C (m3),m3,"4598,89878164131",2023-12-03
2008,ACRE,GASOLINA C (m3),m3,"5120,07174491814",2023-12-03
2009,ACRE,GASOLINA C (m3),m3,"5348,55558097264",2023-12-03
2010,ACRE,GASOLINA C (m3),m3,6025,2023-12-03
2011,ACRE,GASOLINA C (m3),m3,"106948,783",2023-12-03
2012,ACRE,GASOLINA C (m3),m3,"10812,5",2023-12-03
2013,ACRE,GASOLINA C (m3),m3,"10789,786",2023-12-03
2014,ACRE,GASOLINA C (m3),m3,13163,2023-12-03
2015,ACRE,GASOLINA C (m3),m3,"12175,5",2023-12-03
2016,ACRE,GASOLINA C (m3),m3,"12419,5",2023-12-03
2017,ACRE,GASOLINA C (m3),m3,"11698,5",2023-12-03
2018,ACRE,GASOLINA C (m3),m3,10066,2023-12-03
2019,ACRE,GASOLINA C (m3),m3,"11596,547",2023-12-03
2020,ACRE,GASOLINA C (m3),m3,"9225,6",2023-12-03
2000,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"45,45",2023-12-03
2001,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"3,348",2023-12-03
2002,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,0,2023-12-03
2003,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"448,815",2023-12-03
2004,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,0,2023-12-03
2005,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"29,748",2023-12-03
2006,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,30,2023-12-03
2007,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"32,1410078257535",2023-12-03
2008,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"30,0402864332775",2023-12-03
2009,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"105,326170482409",2023-12-03
2010,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"137,213911199045",2023-12-03
2011,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"60,5131806262133",2023-12-03
2012,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"45,5497031370833",2023-12-03
2013,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"67,3088365261497",2023-12-03
2014,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"64,73",2023-12-03
2015,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"60,6642392597884",2023-12-03
2016,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,875,2023-12-03
2017,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,40,2023-12-03
2018,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,25,2023-12-03
2019,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"113,337",2023-12-03
2020,ACRE,GASOLINA DE AVIAÇÃO (m3),m3,"142,621",2023-12-03
2000,ACRE,GLP (m3),m3,"2199,28",2023-12-03
2001,ACRE,GLP (m3),m3,"2487,82545454545",2023-12-03
2002,ACRE,GLP (m3),m3,"2463,75090909091",2023-12-03
2003,ACRE,GLP (m3),m3,"1715,05272727273",2023-12-03
2004,ACRE,GLP (m3),m3,"1690,69636363636",2023-12-03
2005,ACRE,GLP (m3),m3,"1432,34",2023-12-03
2006,ACRE,GLP (m3),m3,"1859,45272727273",2023-12-03
2007,ACRE,GLP (m3),m3,"23791,8073861826",2023-12-03
2008,ACRE,GLP (m3),m3,"2085,67499845682",2023-12-03
2009,ACRE,GLP (m3),m3,"1881,67934782609",2023-12-03
2010,ACRE,GLP (m3),m3,"2377,15217391304",2023-12-03
2011,ACRE,GLP (m3),m3,"2540,16666666667",2023-12-03
2012,ACRE,GLP (m3),m3,"2843,82608695652",2023-12-03
2013,ACRE,GLP (m3),m3,"3003,61956521739",2023-12-03
2014,ACRE,GLP (m3),m3,"2684,71557971014",2023-12-03
2015,ACRE,GLP (m3),m3,"2915,42934782609",2023-12-03
2016,ACRE,GLP (m3),m3,"2899,73188405797",2023-12-03
2017,ACRE,GLP (m3),m3,"3610,02061234251",2023-12-03
2018,ACRE,GLP (m3),m3,"2628,98188405797",2023-12-03
2019,ACRE,GLP (m3),m3,"2958,04166666667",2023-12-03
2020,ACRE,GLP (m3),m3,"28814,625",2023-12-03
2000,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2001,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2002,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2003,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2004,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2005,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2006,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2007,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,"394,79",2023-12-03
2008,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2009,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2010,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,"133,78",2023-12-03
2011,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2012,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
2013,ACRE,ÓLEO COMBUSTÍVEL (m3),m3,0,2023-12-03
